brand,model,color,registration_date,year,price,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
bmw,BMW iX,black,02/2023,2023,119940,397.0,540,Automatic,Electric,607 km (Ort),547.0,3990.0,M60 B&W //Aktionspreis bei Zulassung in DE
bmw,BMW iX1,white,05/2023,2023,55000,200.0,272,Manual,Electric,521 km (Ort),433.0,2400.0,xDrive30 M Sportpaket Head-Up DAB LED RFK
bmw,BMW i4,white,05/2023,2023,50900,210.0,286,Automatic,Electric,483 km (Ort),406.0,10.0,eDrive 35 ~sofort verfügbar~*M Sport*AHK*
citroen,Citroen C4,silver,10/2021,2021,27990,100.0,136,Automatic,Electric,354 km (Ort),348.0,14500.0,e-C4 136 SHINE
citroen,Citroen C4,brown,12/2022,2022,32850,100.0,136,Automatic,Electric,486 km (Ort),346.0,2000.0,e-C4 136 FEEL
citroen,Citroen C4,grey,12/2022,2022,36989,100.0,136,Automatic,Electric,350 km (Ort),354.0,10.0,Elektromotor 136 C-Series*Navi*Kälte Paket
citroen,Citroen Berlingo,grey,12/2022,2022,34400,100.0,136,Automatic,Electric,279 km (Ort),279.0,1500.0,ë-Berlingo M Elektromotor 136 SHINE
citroen,Citroen C5 X,white,10/2022,2022,39950,165.0,224,Automatic,Hybrid,69 km (Ort),63.0,4000.0,Hybrid 225 Start&Stopp e-EAT8 SHINE
citroen,Citroen C5 X,white,12/2022,2022,47290,165.0,224,Automatic,Hybrid,69 km (Ort),63.0,2000.0,Hybrid 225 Start&Stopp e-EAT8 SHINE PACK
citroen,Citroen C5 X,white,12/2022,2022,48200,165.0,224,Automatic,Hybrid,69 km (Ort),63.0,2000.0,Hybrid 225 Start&Stopp e-EAT8 SHINE PACK
citroen,Citroen C4,grey,02/2023,2023,32690,100.0,136,Automatic,Electric,486 km (Ort),346.0,10.0,e-C4 136 C-SERIES
citroen,Citroen C4,grey,02/2023,2023,37850,100.0,136,Automatic,Electric,486 km (Ort),346.0,1000.0,e-C4 136 C-SERIES
citroen,Citroen C4,red,01/2023,2023,35490,100.0,136,Automatic,Electric,486 km (Ort),346.0,10.0,e-C4 136 SHINE
